Total sections: 396

Text/Contents.xhtml:   目　录 第一卷 第二版出版说明 本书出版的说明 第一次国内革命战争时期 中国社会各阶级的分析 湖南农民运动考察报告 
Text/Section0317.xhtml:   关于国际新形势 对新华日报 〔1〕 记者的谈话 （一九三九年九月一日） 记者问：苏德互不侵犯协定的订立 〔2〕 ，其
Text/Section0318.xhtml:   和中央社、扫荡报、新民报 〔1〕 三记者的谈话 （一九三九年九月十六日） 记者问：有几个问题请教。今天在《新中华报》
Text/Section0319.xhtml:   苏联利益和人类利益的一致 （一九三九年九月二十八日） 当着伟大的十月社会主义革命二十二周年纪念快要到来的时候，中苏文
Text/Section0320.xhtml:   《共产党人》发刊词 （一九三九年十月四日） 中央很早就计划出版一个党内的刊物，现在算是实现了。为了建设一个全国范围的
Text/Section0321.xhtml:   目前形势和党的任务 * （一九三九年十月十日） （一）帝国主义世界大战的爆发，是由于各帝国主义国家企图解脱新的经济危
Text/Section0322.xhtml:   大量吸收知识分子 * （一九三九年十二月一日） 一、在长期的和残酷的民族解放战争中，在建立新中国的伟大斗争中，共产党
Text/Section0323.xhtml:   中国革命和中国共产党 * （一九三九年十二月） 第一章　中国社会 第一节　中华民族 我们中国是世界上最大国家之一，它
Text/Section0324.xhtml:   斯大林是中国人民的朋友 （一九三九年十二月二十日） 今年十二月二十一日，是斯大林同志的六十岁生日。这个生日，在全世界
Text/Section0325.xhtml:   纪念白求恩 （一九三九年十二月二十一日） 白求恩 〔1〕 同志是加拿大共产党员，五十多岁了，为了帮助中国的抗日战争，
Text/Section0326.xhtml:   新民主主义论 * （一九四○年一月） 一　中国向何处去 抗战以来，全国人民有一种欣欣向荣的气象，大家以为有了出路，愁
Text/Section0327.xhtml:   克服投降危险，力争时局好转 * （一九四〇年一月二十八日） 目前时局发展的情况，证明中央的历次估计是正确的。大地主大
Text/Section0328.xhtml:   团结一切抗日力量， 反对反共顽固派 * （一九四〇年二月一日） 我们延安的各界人民今天在这里开会，为了什么呢？为了声
Text/Section0329.xhtml:   向国民党的十点要求 * （一九四〇年二月一日） 二月一日延安举行讨汪大会，全场义愤激昂，一致决议声讨汪精卫之卖国投降
Text/Section0330.xhtml:   《中国工人》发刊词 （一九四〇年二月七日） 《中国工人》 〔1〕 的出版是必要的。中国工人阶级，二十年来，在自己的政
Text/Section0331.xhtml:   必须强调团结和进步 * （一九四〇年二月七日） 抗战、团结、进步，这是共产党在去年“七七”纪念时提出的三大方针。这是
Text/Section0332.xhtml:   新民主主义的宪政 * （一九四〇年二月二十日） 今天延安各界人民的代表人物在这里开宪政促进会的成立大会，大家关心宪政
Text/Section0333.xhtml:   抗日根据地的政权问题 * （一九四〇年三月六日） （一）目前是国民党反共顽固派极力反对我们在华北、华中等地建立抗日民
Text/Section0334.xhtml:   目前抗日统一战线中的策略问题 * （一九四〇年三月十一日） （一）目前的政治形势是（：1）日本帝国主义受了中国抗日战
Text/Section0335.xhtml:   放手发展抗日力量， 抵抗反共顽固派的进攻 * （一九四〇年五月四日） （一）在一切敌后地区和战争区域，应强调同一性，
Text/Section0336.xhtml:   团结到底 * （一九四〇年七月五日） 抗日战争的三周年，正是中国共产党的十九周年。我们共产党人今天来纪念抗战，更感到
Text/Section0337.xhtml:   论政策 * （一九四〇年十二月二十五日） 在目前反共高潮的形势下，我们的政策有决定的意义。但是我们的干部，还有许多人
Text/Section0338.xhtml:   为皖南事变发表的命令和谈话 （一九四一年一月二十日） 中国共产党 中央革命军事委员会命令 国民革命军新编第四军抗战有
Text/Section0339.xhtml:   打退第二次反共高潮后的时局 * （一九四一年三月十八日） （一）从何白《皓电》（去年十月十九日）开始的第二次反共高潮
Text/Section0340.xhtml:   关于打退第二次反共高潮的总结 * （一九四一年五月八日） 这一次的反共高潮，正如三月十八日中央的指示所说，是已经过去
Text/Section0401.xhtml:   《农村调查》的序言和跋 （一九四一年三月、四月） 序 （一九四一年三月十七日） 现在党的农村政策，不是十年内战时期那
Text/Section0402.xhtml:   改造我们的学习 * （一九四一年五月十九日） 我主张将我们全党的学习方法和学习制度改造一下。其理由如次： 一 中共产
Text/Section0403.xhtml:   揭破远东慕尼黑的阴谋 * （一九四一年五月二十五日） （一）日美妥协，牺牲中国，造成反共、反苏局面的东方慕尼黑的新阴
Text/Section0404.xhtml:   关于反法西斯的国际统一战线 * （一九四一年六月二十三日） 德国法西斯统治者已于六月二十二日进攻苏联。此种背信弃义的
Text/Section0405.xhtml:   在陕甘宁边区参议会的演说 （一九四一年十一月六日） 各位参议员先生，各位同志：今天边区参议会开幕，是有重大意义的。参
Text/Section0406.xhtml:   整顿党的作风 * （一九四二年二月一日） 党校今天开学，我庆祝这个学校的成功。 今天我想讲一点关于我们的党的作风的问
Text/Section0407.xhtml:   反对党八股 * （一九四二年二月八日） 刚才凯丰 〔1〕 同志讲了今天开会的宗旨。我现在想讲的是：主观主义和宗派主义
Text/Section0408.xhtml:   在延安文艺座谈会上的讲话 （一九四二年五月） 引言 （一九四二年五月二日） 同志们！今天邀集大家来开座谈会，目的是要
Text/Section0409.xhtml:   一个极其重要的政策 * （一九四二年九月七日） 自从党中央提出精兵简政 〔1〕 这个政策以来，许多抗日根据地的党，都
Text/Section0410.xhtml:   第二次世界大战的转折点 * （一九四二年十月十二日） 斯大林格勒之战，英美报纸比之为凡尔登战役，“红色凡尔登”之名已
Text/Section0411.xhtml:   祝十月革命二十五周年 （一九四二年十一月六日） 我们以最大的乐观来庆祝今年的十月革命节。我坚信，今年的十月革命节不但
Text/Section0412.xhtml:   抗日时期的经济问题和财政问题 * （一九四二年十二月） 发展经济，保障供给，是我们的经济工作和财政工作的总方针。但是
Text/Section0413.xhtml:   关于领导方法的若干问题 * （一九四三年六月一日） （一）我们共产党人无论进行何项工作，有两个方法是必须采用的，一是
Text/Section0414.xhtml:   质问国民党 * （一九四三年七月十二日） 近月以来，中国抗日阵营内部，发生了一个很不经常很可骇怪的事实，这就是中国国
Text/Section0415.xhtml:   开展根据地的减租、生产 和拥政爱民运动 * （一九四三年十月一日） （一）秋收已到，各根据地的领导机关必须责成各级党
Text/Section0416.xhtml:   评国民党十一中全会 和三届二次国民参政会 * （一九四三年十月五日） 九月六日至十三日国民党召集了十一中全会，九月十
Text/Section0417.xhtml:   组织起来 * （一九四三年十一月二十九日） 今天共产党中央招待陕甘宁边区从农民群众中、工厂中、部队中、机关学校中选举
Text/Section0418.xhtml:   学习和时局 * （一九四四年四月十二日） 一 去年冬季开始，我党高级干部学习了党史中的两条路线问题。这次学习使广大高
Text/Section0419.xhtml:   附录：关于若干历史问题的决议 （一九四五年四月二十日中国共产党第六届 中央委员会扩大的第七次全体会议通过） （一） 
Text/Section0420.xhtml:   为人民服务 * （一九四四年九月八日） 我们的共产党和共产党所领导的八路军、新四军，是革命的队伍。我们这个队伍完全是
Text/Section0421.xhtml:   评蒋介石在双十节的演说 * （一九四四年十月十一日） 空洞无物，没有答复人民所关切的任何一个问题，是蒋介石双十演说的
Text/Section0422.xhtml:   文化工作中的统一战线 * （一九四四年十月三十日） 我们的一切工作都是为了打倒日本帝国主义。日本帝国主义和希特勒一样
Text/Section0423.xhtml:   必须学会做经济工作 * （一九四五年一月十日） 各位劳动英雄，各位模范工作者！ 你们开了会，总结了经验，大家欢迎你们
Text/Section0424.xhtml:   游击区也能够进行生产 * （一九四五年一月三十一日） 我们在敌后解放区中那些比较巩固的根据地内，能够和必须发动军民的
Text/Section0425.xhtml:   两个中国之命运 * （一九四五年四月二十三日） 同志们！中国共产党第七次全国代表大会今天开幕了。 我们这个大会有什么
Text/Section0426.xhtml:   论联合政府 * （一九四五年四月二十四日） 一　中国人民的基本要求 我们的大会是在这种情况之下开会的：中国人民在其对
Text/Section0427.xhtml:   愚公移山 * （一九四五年六月十一日） 我们开了一个很好的大会。我们做了三件事：第一，决定了党的路线，这就是放手发动
Text/Section0428.xhtml:   论军队生产自给，兼论整风 和生产两大运动的重要性 * （一九四五年四月二十七日） 我们的军队在遭受极端物质困难的目前
Text/Section0429.xhtml:   赫尔利和蒋介石的双簧已经破产 * （一九四五年七月十日） 以粉饰蒋介石独裁统治为目的而召集的四届国民参政会，七月七日
Text/Section0430.xhtml:   评赫尔利政策的危险 * （一九四五年七月十二日） 以美国驻华大使赫尔利 〔1〕 为代表的美国对华政策，越来越明显地造
Text/Section0431.xhtml:   给福斯特同志的电报 （一九四五年七月二十九日） 福斯特同志和美国共产党中央委员会： 欣悉美国共产主义政治协会特别会议
Text/Section0432.xhtml:   对日寇的最后一战 * （一九四五年八月九日） 八月八日，苏联政府宣布对日作战，中国人民表示热烈的欢迎。由于苏联这一行
Text/Section0501.xhtml:   抗日战争胜利后的时局 和我们的方针 * （一九四五年八月十三日） 最近几天是远东时局发生极大变动的时候。日本帝国主义
Text/Section0502.xhtml:   蒋介石在挑动内战 * （一九四五年八月十三日） 国民党中央宣传部发言人发表谈话说，第十八集团军朱德总司令于八月十日在
Text/Section0503.xhtml:   第十八集团军总司令 给蒋介石的两个电报 * （一九四五年八月） 一　八月十三日的电报 我们从重庆广播电台收到中央社两
Text/Section0504.xhtml:   评蒋介石发言人谈话 * （一九四五年八月十六日） 蒋介石的发言人，于十五日下午在重庆记者招待会上讲关于所谓共产党违反
Text/Section0505.xhtml:   中共中央关于同国民党 进行和平谈判的通知 * （一九四五年八月二十六日） 日寇迅速投降，改变了整个形势。蒋介石垄断了
Text/Section0506.xhtml:   关于重庆谈判 * （一九四五年十月十七日） 讲一讲目前的时局问题。这是同志们所关心的问题。这一次，国共两党在重庆谈判
Text/Section0507.xhtml:   国民党进攻的真相 * （一九四五年十一月五日） 合众社重庆三日电报道，国民党中央宣传部长吴国桢宣称，“政府在此次战争
Text/Section0508.xhtml:   减租和生产 是保卫解放区的两件大事 * （一九四五年十一月七日） （一）国民党在美国援助下，动员一切力量进攻我解放区
Text/Section0509.xhtml:   一九四六年解放区工作的方针 * （一九四五年十二月十五日） 过去几个月内，我党领导人民在肃清敌伪和粉碎国民党向解放区
Text/Section0510.xhtml:   建立巩固的东北根据地 * （一九四五年十二月二十八日） （一）我党现时在东北的任务，是建立根据地，是在东满、北满、西
Text/Section0511.xhtml:   关于目前国际形势的几点估计 * （一九四六年四月） （一）世界反动力量确在准备第三次世界大战，战争危险是存在着的。但
Text/Section0512.xhtml:   以自卫战争粉碎蒋介石的进攻 * （一九四六年七月二十日） （一）蒋介石破坏停战协定 〔1〕 ，破坏政协决议 〔2〕 
Text/Section0513.xhtml:   和美国记者安娜·路易斯· 斯特朗 〔1〕 的谈话 * （一九四六年八月六日） 斯特朗问：你觉得中国的问题，在不久的将
Text/Section0514.xhtml:   集中优势兵力，各个歼灭敌人 * （一九四六年九月十六日） （一）集中优势兵力、各个歼灭敌人 〔1〕 的作战方法，不但
Text/Section0515.xhtml:   美国“调解”真相和中国内战前途 ——和美国记者斯蒂尔的谈话 （一九四六年九月二十九日） 斯蒂尔问：阁下是否认为美国调
Text/Section0516.xhtml:   三个月总结 * （一九四六年十月一日） （一）七月二十日中央对时局的指示 〔1〕 上说：“我们是能够战胜蒋介石的。全
Text/Section0517.xhtml:   迎接中国革命的新高潮 * （一九四七年二月一日） （一）目前各方面情况显示，中国时局将要发展到一个新的阶段。这个新的
Text/Section0518.xhtml:   中共中央关于暂时放弃延安 和保卫陕甘宁边区的两个文件 * （一九四六年十一月、一九四七年四月） 一　一九四六年十一月
Text/Section0519.xhtml:   关于西北战场的作战方针 * （一九四七年四月十五日） （一）敌现已相当疲劳，尚未十分疲劳；敌粮已相当困难，尚未极端困
Text/Section0520.xhtml:   蒋介石政府已处在全民的包围中 * （一九四七年五月三十日） 和全民为敌的蒋介石政府，现在已经发现它自己处在全民的包围
Text/Section0521.xhtml:   解放战争第二年的战略方针 * （一九四七年九月一日） （一）第一年作战（去年七月至今年六月），歼灭敌正规军九十七个半
Text/Section0522.xhtml:   中国人民解放军宣言 * （一九四七年十月十日） 中国人民解放军，在粉碎蒋介石的进攻之后，现已大举反攻。南线我军已向长
Text/Section0523.xhtml:   中国人民解放军总部关于重行 颁布三大纪律八项注意的训令 （一九四七年十月十日） 一、本军三大纪律八项注意，实行多年 
Text/Section0524.xhtml:   目前形势和我们的任务 * （一九四七年十二月二十五日） 一 中国人民的革命战争，现在已经达到了一个转折点。这即是中国
Text/Section0525.xhtml:   关于建立报告制度 * （一九四八年一月七日） 为了及时反映情况，使中央有可能在事先或事后帮助各地不犯或少犯错误，争取
Text/Section0526.xhtml:   关于目前党的政策中 的几个重要问题 * （一九四八年一月十八日） 一　党内反对错误倾向问题 反对对敌人的力量估计过高
Text/Section0527.xhtml:   军队内部的民主运动 * （一九四八年一月三十日） 部队内部政治工作方针，是放手发动士兵群众、指挥员和一切工作人员，通
Text/Section0528.xhtml:   在不同地区 实施土地法的不同策略 * （一九四八年二月三日） 关于土地法 〔1〕 的实施，应当分三种地区，采取不同策
Text/Section0529.xhtml:   纠正土地改革宣传中的 “左”倾错误 * （一九四八年二月十一日） 最近几个月中，许多地方的通讯社和报纸，不加选择地没
Text/Section0530.xhtml:   新解放区土地改革要点 * （一九四八年二月十五日） 一、不要性急，应依环境、群众觉悟程度和领导干部强弱决定土地改革工
Text/Section0531.xhtml:   关于工商业政策 * （一九四八年二月二十七日） 一、某些地方的党组织违反党中央的工商业政策，造成严重破坏工商业的现象
Text/Section0532.xhtml:   关于民族资产阶级 和开明绅士问题 * （一九四八年三月一日） 中国现阶段革命的性质，是无产阶级领导的、人民大众的、反
Text/Section0533.xhtml:   评西北大捷兼论解放军的 新式整军运动 * （一九四八年三月七日） 人民解放军总部发言人评西北人民解放军最近一次大捷称
Text/Section0534.xhtml:   关于情况的通报 * （一九四八年三月二十日） 一、最近几个月，中央集中全力解决在新形势下面关于土地改革方面、关于工商
Text/Section0535.xhtml:   在晋绥干部会议上的讲话 （一九四八年四月一日） 同志们，今天我想讲的，主要地是一些和晋绥工作有关的问题，然后讲到一些
Text/Section0536.xhtml:   对晋绥日报编辑人员的谈话 （一九四八年四月二日） 我们的政策，不光要使领导者知道，干部知道，还要使广大的群众知道。有
Text/Section0537.xhtml:   再克洛阳后给 洛阳前线指挥部的电报 * （一九四八年四月八日） 此次再克洛阳 〔1〕 ，可能巩固。关于城市政策，应注
Text/Section0538.xhtml:   新解放区农村工作的策略问题 * （一九四八年五月二十四日） 新解放区农村工作的策略问题有全盘考虑之必要。新解放区必须
Text/Section0539.xhtml:   一九四八年的 土地改革工作和整党工作 * （一九四八年五月二十五日） 一 必须注意季节。必须利用今年整个秋季和冬季，
Text/Section0540.xhtml:   关于辽沈战役 〔1〕 的作战方针 * （一九四八年九月、十月） 一　九月七日的电报 我们准备五年左右（从一九四六年七
Text/Section0541.xhtml:   关于健全党委制 * （一九四八年九月二十日） 党委制是保证集体领导、防止个人包办的党的重要制度。近查有些（当然不是一
Text/Section0542.xhtml:   中共中央关于九月会议的通知 * （一九四八年十月十日） （一）一九四八年九月，中央召开了一次政治局会议，到政治局委员
Text/Section0543.xhtml:   关于淮海战役的的作战方针 * （一九四八年十月十一日） 关于淮海战役 〔1〕 部署，现在提出几点意见，供你们考虑。 
Text/Section0544.xhtml:   全世界革命力量团结起来， 反对帝国主义的侵略 * （一九四八年十一月） 现在，当着全世界觉悟的工人阶级和一切真诚革命
Text/Section0545.xhtml:   中国军事形势的重大变化 * （一九四八年十一月十四日） 中国的军事形势现已进入一个新的转折点，即战争双方力量对比已经
Text/Section0546.xhtml:   关于平津战役 〔1〕 的作战方针 * （一九四八年十二月十一日） 一、张家口、新保安、怀来和整个北平、天津、塘沽、唐
Text/Section0547.xhtml:   敦促杜聿明等投降书 * （一九四八年十二月十七日） 杜聿明将军、邱清泉将军、李弥将军和邱李两兵团诸位军长师长团长： 
Text/Section0548.xhtml:   将革命进行到底 * （一九四八年十二月三十日） 中国人民将要在伟大的解放战争中获得最后胜利，这一点，现在甚至我们的敌
Text/Section0549.xhtml:   评战犯求和 * （一九四九年一月四日） 为了保存中国反动势力和美国在华侵略势力，中国第一号战争罪犯国民党匪帮首领蒋介
Text/Section0550.xhtml:   中共中央毛泽东主席 关于时局的声明 （一九四九年一月十四日） 自一九四六年七月，南京国民党反动政府在美国帝国主义者的
Text/Section0551.xhtml:   中共发言人评南京行政院的决议 （一九四九年一月二十一日） 南京国民党反动政府的官方通讯社中央社十九日电称：十九日上午
Text/Section0552.xhtml:   中共发言人关于 命令国民党反动政府重新逮捕 前日本侵华军总司令冈村宁次和 逮捕国民党内战罪犯的谈话 （一九四九年一月
Text/Section0553.xhtml:   中共发言人关于 和平条件必须包括惩办日本战犯 和国民党战犯的声明 （一九四九年二月五日） 上月二十八日中国共产党发言
Text/Section0554.xhtml:   把军队变为工作队 * （一九四九年二月八日） 四日电悉。你们加紧整训，准备提前一个月出动 〔1〕 ，甚好。望照此去做
Text/Section0555.xhtml:   四分五裂的反动派 为什么还要空喊“全面和平”？ （一九四九年二月十五日） 国民党反动统治崩溃的速度，比人们预料的要快
Text/Section0556.xhtml:   国民党反动派由“呼吁和平” 变为呼吁战争 （一九四九年二月十六日） 自从一月一日蒋匪介石发动和平攻势以后，曾经连篇累
Text/Section0557.xhtml:   评国民党对战争责任 问题的几种答案 （一九四九年二月十八日） “政府自抗战结束以后，即以和平建国方针力谋中共问题之和
Text/Section0558.xhtml:   在中国共产党第七届中央委员会 第二次全体会议上的报告 * （一九四九年三月五日） 一 辽沈、淮海、平津三战役 〔1〕
Text/Section0559.xhtml:   党委会的工作方法 * （一九四九年三月十三日） 一、党委书记要善于当“班长”。党的委员会有一二十个人，像军队的一个班
Text/Section0560.xhtml:   南京政府向何处去？ （一九四九年四月四日） 两条路摆在南京国民党政府及其军政人员的面前：一条是向蒋介石战犯集团及其主
Text/Section0561.xhtml:   向全国进军的命令 * （一九四九年四月二十一日） 各野战军全体指挥员战斗员同志们，南方各游击区人民解放军同志们： 由
Text/Section0562.xhtml:   中国人民解放军布告 （一九四九年四月二十五日） 国民党反动派业已拒绝接受和平条件 〔1〕 ，坚持其反民族反人民的罪恶
Text/Section0563.xhtml:   中国人民解放军总部发言人 为英国军舰暴行 〔1〕 发表的声明 * （一九四九年四月三十日） 我们斥责战争贩子丘吉尔的
Text/Section0564.xhtml:   在新政治协商会议 筹备会上的讲话 （一九四九年六月十五日） 诸位代表先生： 我们的新的政治协商会议的筹备会 〔1〕 
Text/Section0565.xhtml:   论人民民主专政 纪念中国共产党二十八周年 （一九四九年六月三十日） 一九四九年的七月一日这一个日子表示，中国共产党已
Text/Section0566.xhtml:   丢掉幻想，准备斗争 * （一九四九年八月十四日） 美国国务院关于中美关系的白皮书以及艾奇逊国务卿给杜鲁门总统的信 〔
Text/Section0567.xhtml:   别了，司徒雷登 （一九四九年八月十八日） 美国的白皮书，选择在司徒雷登 〔1〕 业已离开南京、快到华盛顿、但是尚未到
Text/Section0568.xhtml:   为什么要讨论白皮书？ （一九四九年八月二十八日） 关于美国白皮书和艾奇逊的信件，我们业已在三篇文章（《无可奈何的供状
Text/Section0569.xhtml:   “友谊”，还是侵略？ （一九四九年八月三十日） 为了寻找侵略的根据，艾奇逊重复地说了一大堆“友谊”，加上一大堆“原则
Text/Section0570.xhtml:   唯心历史观的破产 （一九四九年九月十六日） 中国人之所以应当感谢美国资产阶级发言人艾奇逊，不但是因为艾奇逊明确地供认
Text/Section0601.xhtml:   中国人民站起来了 * （一九四九年九月二十一日） 诸位代表先生们，全国人民所渴望的政治协商会议现在开幕了。 我们的会
Text/Section0602.xhtml:   中国人民大团结万岁 * （一九四九年九月三十日） 全国同胞们： 中国人民政治协商会议第一届全体会议业已胜利地完成了自
Text/Section0603.xhtml:   人民英雄们永垂不朽 * （一九四九年九月三十日） 三年以来，在人民解放战争和人民革命中牺牲的人民英雄们永垂不朽！ 三
Text/Section0604.xhtml:   永远保持艰苦奋斗的作风 （一九四九年十月二十六日） 延安的同志们和陕甘宁边区的同胞们： 接到你们的贺函，使我十分愉快
Text/Section0605.xhtml:   征询对待富农策略问题的意见 * （一九五〇年三月十二日） 请就你们现正召开的各省负责同志会议中征询关于对待富农策略问
Text/Section0606.xhtml:   为争取国家财政经济状况的 基本好转而斗争 * （一九五〇年六月六日） 目前的国际情况对于我们是有利的。以苏联为首的世
Text/Section0607.xhtml:   不要四面出击 * （一九五〇年六月六日） 七届二中全会以来，我们党领导的新民主主义革命在全国范围内取得了胜利，成立了
Text/Section0608.xhtml:   做一个完全的革命派 * （一九五〇年六月二十三日） 此次会议总结了过去时期的经验，决定了各项方针。 这种总结经验和决
Text/Section0609.xhtml:   你们是全民族的模范人物 * （一九五〇年九月二十五日） 全国战斗英雄代表会议和全国工农兵劳动模范代表会议的代表同志们
Text/Section0610.xhtml:   给中国人民志愿军的命令 * （一九五〇年十月八日） 中国人民志愿军各级领导同志们: （一）为了援助朝鲜人民解放战争，
Text/Section0611.xhtml:   中国人民志愿军要爱护朝鲜的 一山一水一草一木 * （一九五一年一月十九日） 中朝两国同志要亲如兄弟般地团结在一起，休
Text/Section0612.xhtml:   中共中央政治局 扩大会议决议要点 （一九五一年二月十八日） 中央于二月中旬召开有各中央局负责同志参加的政治局会议，讨
Text/Section0613.xhtml:   镇压反革命必须实行 党的群众路线 * （一九五一年五月十五日） （一）目前在全国进行的镇压反革命的运动，是一场伟大的
